run,scorer,hidden_dim,num_layers,n_params,step,total_steps,perturbed_gap,served_all_rate,n_serving,n_val_instances,is_new_best
eps060,gnn,64,2,26049,2000,10000,-0.019963,1.000000,197,200,1
eps060,gnn,64,2,26049,3000,10000,0.002118,1.000000,197,200,1
eps060,gnn,64,2,26049,4000,10000,-0.017843,1.000000,197,200,0
eps060,gnn,64,2,26049,5000,10000,0.012086,1.000000,197,200,1
eps060,gnn,64,2,26049,6000,10000,0.075057,1.000000,197,200,1
eps060,gnn,64,2,26049,7000,10000,0.052918,1.000000,197,200,0
eps060,gnn,64,2,26049,8000,10000,0.109645,1.000000,197,200,1
eps060,gnn,64,2,26049,9000,10000,0.077350,1.000000,197,200,0
eps060,gnn,64,2,26049,10000,10000,0.095304,1.000000,197,200,0
eps080,gnn,64,2,26049,1000,10000,-0.026990,1.000000,197,200,1
eps080,gnn,64,2,26049,2000,10000,-0.015956,1.000000,197,200,1
eps080,gnn,64,2,26049,3000,10000,0.002790,1.000000,197,200,1
eps080,gnn,64,2,26049,4000,10000,-0.111694,1.000000,197,200,0
eps080,gnn,64,2,26049,5000,10000,-0.009827,1.000000,197,200,0
eps080,gnn,64,2,26049,6000,10000,0.009288,1.000000,197,200,1
eps080,gnn,64,2,26049,7000,10000,0.049073,1.000000,197,200,1
eps080,gnn,64,2,26049,8000,10000,0.030041,1.000000,197,200,0
eps080,gnn,64,2,26049,9000,10000,0.074180,1.000000,197,200,1
eps080,gnn,64,2,26049,10000,10000,0.097843,1.000000,197,200,1
epsconst10,gnn,64,2,26049,1000,10000,-0.043576,1.000000,197,200,1
epsconst10,gnn,64,2,26049,2000,10000,-0.043466,1.000000,197,200,1
epsconst10,gnn,64,2,26049,3000,10000,0.003253,1.000000,197,200,1
epsconst10,gnn,64,2,26049,4000,10000,-0.145498,1.000000,197,200,0
epsconst10,gnn,64,2,26049,5000,10000,0.031479,1.000000,197,200,1
epsconst10,gnn,64,2,26049,6000,10000,0.024640,1.000000,197,200,0
epsconst10,gnn,64,2,26049,7000,10000,0.001542,1.000000,197,200,0
epsconst10,gnn,64,2,26049,8000,10000,0.098342,1.000000,197,200,1
epsconst10,gnn,64,2,26049,9000,10000,0.084123,1.000000,197,200,0
epsconst10,gnn,64,2,26049,10000,10000,0.066168,1.000000,197,200,0
m15,gnn,64,2,26049,1000,10000,-0.051541,1.000000,197,200,1
m15,gnn,64,2,26049,2000,10000,-0.036792,1.000000,197,200,1
m15,gnn,64,2,26049,3000,10000,-0.007128,1.000000,197,200,1
m15,gnn,64,2,26049,4000,10000,-0.022094,1.000000,197,200,0
m15,gnn,64,2,26049,5000,10000,-0.001327,1.000000,197,200,1
m15,gnn,64,2,26049,6000,10000,-0.011515,1.000000,197,200,0
m15,gnn,64,2,26049,7000,10000,-0.001224,1.000000,197,200,1
m15,gnn,64,2,26049,8000,10000,0.039650,1.000000,197,200,1
m15,gnn,64,2,26049,9000,10000,0.075354,1.000000,197,200,1
m15,gnn,64,2,26049,10000,10000,0.061152,1.000000,197,200,0
m60,gnn,64,2,26049,1000,10000,-0.058941,1.000000,197,200,1
m60,gnn,64,2,26049,2000,10000,-0.015387,1.000000,197,200,1
m60,gnn,64,2,26049,3000,10000,-0.025421,1.000000,197,200,0
m60,gnn,64,2,26049,4000,10000,-0.008958,1.000000,197,200,1
m60,gnn,64,2,26049,5000,10000,0.040443,1.000000,197,200,1
m60,gnn,64,2,26049,6000,10000,0.065468,1.000000,197,200,1
m60,gnn,64,2,26049,7000,10000,0.000719,1.000000,197,200,0
m60,gnn,64,2,26049,8000,10000,0.041081,1.000000,197,200,0
m60,gnn,64,2,26049,9000,10000,0.027702,1.000000,197,200,0
m60,gnn,64,2,26049,10000,10000,0.017943,1.000000,197,200,0
