arm,log,step,total_steps,hard_gap_vs_milp,served_all_rate,n_val
archL2H128_warmstart,m2_archL2H128_warmstart.log,1000,1000,0.3538,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,25,1000,0.3351,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,50,1000,0.3459,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,75,1000,0.3772,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,100,1000,0.3923,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,125,1000,0.3768,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,150,1000,0.3710,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,175,1000,0.3729,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,200,1000,0.3966,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,225,1000,0.3974,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,250,1000,0.3965,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,275,1000,0.4040,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,300,1000,0.3884,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,325,1000,0.3959,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,350,1000,0.3889,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,375,1000,0.3939,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,400,1000,0.3980,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,425,1000,0.3844,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,450,1000,0.4075,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,475,1000,0.4084,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,500,1000,0.3890,1.000,200
eps060_warmstart,m2_eps060_warmstart.log,525,1000,0.4060,1.000,200
