scale,budget_seconds,seed,k,window_size,build_s,gurobi_runtime_s,solve_wall_s,status,sol_count
"R=10,T=30",0.05,96001,6,4,0.005111666978336871,0.05055499076843262,0.05062883399659768,time_limit,6
"R=10,T=30",0.05,96001,7,5,0.006498167000245303,0.05045819282531738,0.050530292035546154,time_limit,1
"R=10,T=30",0.05,96001,8,6,0.00875066698063165,0.054444074630737305,0.05455600004643202,time_limit,1
"R=10,T=30",0.05,96001,9,8,0.013221541012171656,0.05107998847961426,0.05121537501690909,time_limit,1
"R=10,T=30",0.05,96001,10,8,0.013895541953388602,0.05031108856201172,0.05044616700615734,time_limit,3
"R=10,T=30",0.05,96001,11,12,0.02707108302274719,0.050106048583984375,0.05033737496705726,time_limit,1
"R=10,T=30",0.05,96001,12,13,0.03194033296313137,0.050108909606933594,0.05035170802148059,time_limit,1
"R=10,T=30",0.05,96001,13,14,0.043077750015072525,0.05013298988342285,0.05042566702468321,time_limit,1
"R=10,T=30",0.05,96001,14,14,0.03568674996495247,0.05011105537414551,0.05040329199982807,time_limit,1
"R=10,T=30",0.05,96001,15,13,0.030754042032640427,0.05014395713806152,0.05039508402114734,time_limit,1
"R=10,T=30",0.05,96001,16,12,0.026415083033498377,0.0503079891204834,0.050525792001280934,time_limit,1
"R=10,T=30",0.05,96001,17,12,0.02646670799003914,0.05015110969543457,0.050341458001639694,time_limit,1
"R=10,T=30",0.05,96001,18,11,0.023172040993813425,0.050096988677978516,0.05029225000180304,time_limit,1
"R=10,T=30",0.05,96001,19,10,0.022148000018205494,0.05016803741455078,0.05039170803502202,time_limit,1
"R=10,T=30",0.05,96001,20,9,0.01612820802256465,0.05411386489868164,0.0542483750032261,time_limit,3
"R=10,T=30",0.05,96001,21,8,0.01424458296969533,0.05031108856201172,0.05047783302143216,time_limit,2
"R=10,T=30",0.05,96001,22,7,0.017990500025916845,0.05039215087890625,0.050518791016656905,time_limit,3
"R=10,T=30",0.05,96001,23,7,0.010764957987703383,0.05031299591064453,0.050407833012286574,time_limit,3
"R=10,T=30",0.05,96001,24,6,0.008538166992366314,0.05026698112487793,0.05036104196915403,time_limit,3
"R=10,T=30",0.05,96001,25,6,0.008676249999552965,0.05027604103088379,0.050361083005554974,time_limit,3
"R=10,T=30",0.05,96001,26,5,0.006748458021320403,0.050987958908081055,0.051056333002634346,time_limit,1
"R=10,T=30",0.05,96001,27,5,0.006713790993671864,0.05031418800354004,0.05038733396213502,time_limit,1
