scale,R,T,budget_seconds,seed,cost,served_all,frac_served,n_unserved,n_window_solves,n_models_built,n_time_limit,n_no_incumbent,n_fallbacks,mean_solve_s,max_solve_s,mean_build_s,max_build_s,mean_total_per_decision_s,mean_window,max_window,total_solver_seconds,wall_seconds
"R=30,T=90",30,90,0.05,96106,456.73375984615797,1,1.0,0,36,36,33,11,11,0.05134544769922892,0.07382917404174805,0.3442812303352791,1.1755224999506027,0.3975228112766571,20.666666666666668,46,14.310821205959655,14.872509957989678
"R=30,T=90",30,90,0.05,96107,371.71758222413223,1,1.0,0,32,32,26,8,8,0.04661017656326294,0.06347799301147461,0.2384090078430745,0.8549286669585854,0.28637421362327586,16.34375,39,9.163974835944828,9.526974000036716
"R=30,T=90",30,90,0.05,96108,455.31158413498457,1,1.0,0,36,36,29,7,7,0.04633018705579969,0.0596919059753418,0.24336575349702294,0.7779753749491647,0.2910742141894944,16.694444444444443,37,10.4786717108218,10.956751916965004
"R=30,T=90",30,90,0.05,96109,298.9909760697175,1,1.0,0,26,26,21,1,1,0.046183292682354264,0.06420397758483887,0.11905056576450498,0.39596450002864003,0.16596351784895746,11.384615384615385,27,4.315051464072894,4.550616332970094
"R=30,T=90",30,90,0.05,96110,358.83719939576434,1,1.0,0,27,27,24,3,3,0.048800821657534,0.07233715057373047,0.21668193214443615,0.6473979169968516,0.26673602788165834,16.296296296296298,34,7.201872752804775,7.580400915991049
"R=30,T=90",30,90,0.05,96111,392.0355831561942,1,1.0,0,31,31,28,8,8,0.050030500658096805,0.06428790092468262,0.2728058090921672,0.9411330830189399,0.3244120578315379,17.806451612903224,41,10.056773792777676,10.468192042026203
"R=30,T=90",30,90,0.05,96112,410.6803999718906,1,1.0,0,33,33,27,9,9,0.04846726041851622,0.06496381759643555,0.31006306175770465,1.0817858750233427,0.3602541551844104,18.606060606060606,44,11.888387121085543,12.352382290991955
"R=30,T=90",30,90,0.05,96113,386.3601711456692,1,1.0,0,33,33,27,8,8,0.04751907695423473,0.06810808181762695,0.2636376551747548,0.7945975829497911,0.31275517408291553,17.515151515151516,38,10.320920744736213,10.762397915998008
"R=30,T=90",30,90,0.05,96114,291.743883914137,1,1.0,0,23,23,19,3,3,0.04438896801160729,0.06211400032043457,0.1903622790427028,0.6809084580163471,0.235870358744211,14.782608695652174,35,5.425018251116853,5.693222041998524
"R=30,T=90",30,90,0.05,96115,270.14458760143833,1,1.0,0,28,28,20,3,3,0.04402893781661987,0.06380510330200195,0.19745337956659828,0.6328167499741539,0.24262342260460304,14.928571428571429,34,6.793455832928885,7.1446780420374125
"R=30,T=90",30,90,0.05,96116,404.1649940015401,1,1.0,0,35,35,29,6,6,0.04935430799211774,0.06419491767883301,0.25974308940349145,1.0959609170095064,0.31056777386526974,16.885714285714286,44,10.869872085284442,11.344952250015922
"R=30,T=90",30,90,0.05,96117,374.43698730692773,1,1.0,0,28,28,23,5,5,0.0488927960395813,0.06738400459289551,0.2802133528187239,0.858040459046606,0.33066851349472665,18.571428571428573,39,9.258718377852347,9.711943792004604
"R=30,T=90",30,90,0.05,96118,422.7067035890502,1,1.0,0,29,29,25,7,7,0.04871029689394195,0.06652116775512695,0.24704012068807438,0.849701291997917,0.29714056175876535,16.482758620689655,38,8.617076291004196,8.958214875019621
"R=30,T=90",30,90,0.05,96119,340.2129846793699,1,1.0,0,31,31,25,6,6,0.04560522110231461,0.06339812278747559,0.2222725148669504,0.7388073339825496,0.26915553366885553,15.516129032258064,37,8.34382154373452,8.708751625032164
"R=30,T=90",30,90,0.05,96120,312.5573773400294,1,1.0,0,31,31,25,5,5,0.04727295906313004,0.06459808349609375,0.22499579039304668,0.7529795410227962,0.27354670714046203,15.580645161290322,37,8.479947921354324,8.86910995800281
"R=30,T=90",30,90,0.05,96121,297.6165114843069,1,1.0,0,28,28,24,6,6,0.04955933775220599,0.06331205368041992,0.22711734678887296,0.8829807079746388,0.2779835758535358,15.607142857142858,40,7.783540123899002,8.113794083008543
"R=30,T=90",30,90,0.05,96122,358.46257870014966,1,1.0,0,31,31,27,2,2,0.04896513108284243,0.07283210754394531,0.1906504058673407,0.5850233749952167,0.24072280912584956,14.838709677419354,32,7.462407082901336,7.874479416990653
"R=30,T=90",30,90,0.05,96123,404.805945550916,1,1.0,0,35,35,24,8,8,0.04196233749389648,0.06803202629089355,0.22746258816914633,0.837954249989707,0.2707104596026641,15.114285714285714,39,9.474866086093243,9.859032333013602
"R=30,T=90",30,90,0.05,96124,385.442404624284,1,1.0,0,33,33,28,8,8,0.04784110098174124,0.06358122825622559,0.2457630846695269,0.7530209579854272,0.2950011705468183,16.545454545454547,37,9.735038628045004,10.137407417001668
"R=30,T=90",30,90,0.05,96125,398.1231616771172,1,1.0,0,31,31,26,2,2,0.04679409919246551,0.06444811820983887,0.20290464787526177,0.6190706249908544,0.250871361616338,15.64516129032258,33,7.777012210106477,8.212717166985385
"R=30,T=90",30,90,0.05,96126,498.45892243203116,1,1.0,0,39,39,33,13,13,0.05021951137444912,0.08039593696594238,0.40808027661524904,1.315988374990411,0.46051678075067076,22.076923076923077,48,17.96015444927616,18.635365209018346
