seed,budget_seconds,policy_cost,milp_oracle_cost_from_cache,gap_closure,serve_all_flag,n_window_solves,n_solves_hit_time_limit,n_solves_no_incumbent,n_solves_fallback_fired,measured_total_solve_seconds,measured_mean_per_decision_seconds,n_decisions,measured_total_build_seconds,mean_build_s,mean_solve_s,instance_wall_clock_seconds
90047,1.0,300.5400501939777,,,1,63,46,28,28,48.930948912748136,0.77668172877378,75,5.999661708192434,0.09523272552686403,0.77668172877378,55.170860457990784
90048,1.0,284.87019846420424,,,1,60,39,25,25,42.96776321128709,0.7161293868547849,71,5.2709028729004785,0.08784838121500797,0.7161293868547849,48.499445167020895
90049,1.0,284.03584624394256,,,1,53,40,21,21,41.76341591402888,0.7879889795099789,69,3.9451759980875067,0.07443728298278314,0.7879889795099789,45.87866433302406
90050,1.0,346.5637101317439,,,1,68,51,31,31,53.45368562533986,0.7860836121373509,84,5.905542001593858,0.08684620590579203,0.7860836121373509,59.58644933300093
90051,1.0,331.3434653156552,,,1,67,51,36,36,52.684395500749815,0.7863342612052211,82,6.176832084893249,0.09219152365512312,0.7863342612052211,59.084248500003014
90052,1.0,369.39904775666736,,,1,70,47,30,30,50.3075280385674,0.7186789719795342,86,6.072097957425285,0.08674425653464693,0.7186789719795342,56.610598666011356
90053,1.0,334.887204582814,,,1,65,48,28,28,50.29781583510339,0.773812551309283,77,5.219541329832282,0.08030063584357357,0.773812551309283,55.722692500043195
90054,1.0,261.1629999292032,,,1,54,40,25,25,41.744020750920754,0.7730374213133473,64,4.104479371162597,0.0760088772437518,0.7730374213133473,46.01301004196284
90055,1.0,271.2858277240677,,,1,50,34,19,19,36.16085375024704,0.7232170750049408,63,3.504865000839345,0.0700973000167869,0.7232170750049408,39.817024416988716
90056,1.0,191.5460759355166,,,1,45,30,16,16,32.86889854178298,0.7304199675951774,51,3.496168293233495,0.07769262873852212,0.7304199675951774,36.514685500005726
90057,1.0,228.33653531944032,,,1,47,37,17,17,38.31238492106786,0.8151571259801672,57,3.5979736646986566,0.0765526311638012,0.8151571259801672,42.06761391600594
90058,1.0,302.32705934615046,,,1,61,43,27,27,45.03289000107907,0.7382440983783454,74,5.259860375081189,0.08622721926362605,0.7382440983783454,50.49339250003686
90059,1.0,287.9339006756343,,,1,58,43,27,27,45.55020512401825,0.7853483642072112,70,5.02445908280788,0.08662860487599792,0.7853483642072112,50.766194791998714
90060,1.0,337.51775759287733,,,1,61,48,19,19,50.64303216483677,0.8302136420465044,79,4.669547123135999,0.07654995283829506,0.8302136420465044,55.52027541602729
90061,1.0,253.16752973010034,,,1,51,36,20,20,37.44130558380857,0.7341432467413446,63,3.831360746815335,0.07512472052579089,0.7341432467413446,41.43041133397492
90062,1.0,335.65311015080397,,,1,67,48,32,32,51.44742666493403,0.7678720397751347,82,6.611516998789739,0.09867935819089163,0.7678720397751347,58.302268208004534
90063,1.0,267.2511052864165,,,1,54,38,27,27,39.951214833243284,0.7398373117267275,66,4.25826762651559,0.07885680789843684,0.7398373117267275,44.374296791967936
90064,1.0,353.2463005855539,,,1,66,45,32,32,48.74774437589804,0.7386021875136066,84,5.122940046188887,0.07762030373013465,0.7386021875136066,54.06167970900424
90065,1.0,271.25333519059365,,,1,56,38,25,25,41.29306912794709,0.7373762344276267,73,4.417287289048545,0.07888013016158116,0.7373762344276267,45.879972791008186
90066,1.0,351.8154831360634,,,1,64,50,31,31,52.06378004612634,0.8134965632207241,78,5.701494461973198,0.08908585096833121,0.8134965632207241,57.98518945800606
90067,1.0,325.0775026819352,,,1,61,46,29,29,46.697814705898054,0.7655379459983288,77,4.596689295896795,0.07535556222781631,0.7655379459983288,51.46992541698273
90068,1.0,261.46541070459995,,,1,58,41,23,23,43.90323779411847,0.7569523757606632,67,5.1020338297239505,0.08796610051248191,0.7569523757606632,49.217534541967325
90069,1.0,287.2777426429746,,,1,53,38,24,24,41.003209543123376,0.7736454630777996,70,3.89670595881762,0.0735227539399551,0.7736454630777996,45.05826420802623
90070,1.0,270.0509345170633,,,1,57,38,23,23,39.390405624115374,0.6910597477914978,67,3.7126269589643925,0.06513380629762092,0.6910597477914978,43.25529737502802
90071,1.0,249.92256145881908,,,1,52,38,26,26,39.05034525011433,0.7509681778868141,62,4.097881456837058,0.07880541263148189,0.7509681778868141,43.310042208991945
90072,1.0,268.12965115475964,,,1,56,40,24,24,41.57643845601706,0.7424364010003046,66,4.93191537167877,0.0880699173514066,0.7424364010003046,46.71101800003089
90073,1.0,276.8039545993764,,,1,51,34,19,19,36.60703874705359,0.7177850734716391,66,3.201332673022989,0.0627712288828037,0.7177850734716391,39.947910791030154
90074,1.0,236.22662524434165,,,1,50,40,22,22,40.76615625509294,0.8153231251018588,62,4.411702290759422,0.08823404581518844,0.8153231251018588,45.35518299997784
90075,1.0,246.89020833753287,,,1,46,34,21,21,36.37217275536386,0.7906994077253013,57,3.510895417886786,0.07632381343232143,0.7906994077253013,40.02314983296674
90076,1.0,251.9132648658154,,,1,54,36,23,23,38.648378792917356,0.7157107183873584,62,3.9666756272199564,0.07345695605962882,0.7157107183873584,42.77428262500325
90077,1.0,378.64453913708076,,,1,73,52,34,34,54.498736543173436,0.7465580348379923,88,5.952048414153978,0.08153490978293121,0.7465580348379923,60.68047999998089
90078,1.0,347.52769661383263,,,1,66,48,34,34,50.99082974897465,0.7725883295299188,83,5.934156165109016,0.0899114570471063,0.7725883295299188,57.14523629198084
90079,1.0,308.56931487468086,,,1,62,45,30,30,47.206921044911724,0.7614019523372859,74,5.282651456946041,0.08520405575719421,0.7614019523372859,52.697161750053056
90080,1.0,229.89477306028078,,,1,49,35,22,22,37.36274141375907,0.7625049268114096,59,4.1161222498631105,0.08400249489516552,0.7625049268114096,41.642555958009325
90081,1.0,314.60943810547235,,,1,58,47,35,35,48.50318062363658,0.8362617348902859,73,5.681137500272598,0.0979506465564241,0.8362617348902859,54.38815670798067
90082,1.0,221.78576394996236,,,1,44,34,19,19,35.243234330264386,0.8009825984150997,56,3.459232999011874,0.07861893179572442,0.8009825984150997,38.84889016597299
90083,1.0,345.1095625956749,,,1,65,46,30,30,49.55829641892342,0.7624353295218987,80,5.543046668928582,0.08527764106043972,0.7624353295218987,55.31644108297769
90084,1.0,337.95050491906994,,,1,64,45,31,31,48.33908687566873,0.7552982324323239,81,6.084706162451766,0.09507353378830885,0.7552982324323239,54.64479187497636
90085,1.0,297.85939267089594,,,1,58,42,23,23,43.72459345887182,0.7538723010150314,73,4.670324373058975,0.08052283401825819,0.7538723010150314,48.58410366700264
90086,1.0,353.5496337061304,,,1,63,53,34,34,55.451273997023236,0.8801789523337021,83,6.593263541290071,0.10465497684587415,0.8801789523337021,62.29273625003407
90087,1.0,286.3190298646718,,,1,58,41,23,23,43.60490908293286,0.751808777291946,71,4.969707162934355,0.08568460625748889,0.751808777291946,48.77980191697134
