seed,R,T,policy_cost,hungarian_distance_only_cost,hungarian_kappa_cost,milp_objective,serve_all_flag,n_unserved_tasks,term_travel_time,term_makespan,term_balance,n_decisions,n_commitments,cost_is_from_failed_rollout,greedy_served_all,greedy_n_unserved,kappa_served_all,kappa_n_unserved,greedy_term_travel_time,greedy_term_makespan,greedy_term_balance,kappa_term_travel_time,kappa_term_makespan,kappa_term_balance,expert_replay_cost,epoch_count,simulator_failure
96029,10,30,217.37352732205537,249.40427095154087,250.31249310959953,,1,0,1862.1174593044484,262.63704033085924,51.365804584381834,53,30,0,1,0,1,0,1842.4630266785086,277.1009474086116,94.17167116085398,1846.8029931379615,278.51446549434354,94.59206550059983,,53,0
96030,10,30,170.17006267411148,205.56713217892138,208.01088864562473,,1,0,1566.5656105026674,225.40897940473482,23.4411486343663,46,30,0,1,0,1,0,1611.3072143602863,251.25146881166447,61.27316640794541,1614.8956005337495,255.63840988049034,62.943213499329914,,46,0
96031,10,30,162.31041998378257,177.33322156419416,177.33322156419416,,1,0,1344.5258119396253,204.3965456056548,39.69825431011114,41,30,0,1,0,1,0,1360.7320953430406,215.80579437334376,55.856938406481845,1360.7320953430406,215.80579437334376,55.856938406481845,,41,0
96032,10,30,212.64740392625532,289.161711770024,289.1617691913,,1,0,1939.1752990801708,264.2509515644514,36.97711297874085,53,30,0,1,0,1,0,2049.796619508191,320.9050339285714,117.209820489994,2049.797520941094,320.9050339285714,117.209820489994,,53,0
96033,10,30,160.32799094403111,205.0304612420514,205.02273679562836,,1,0,1423.1134628106204,211.30080306586154,27.287481389520423,43,30,0,1,0,1,0,1360.2364239873757,222.83282442845635,93.24923149477632,1357.8210928816534,223.01144991228412,93.3975412636056,,43,0
96034,10,30,202.3245482112745,204.46903167729988,245.86763657303237,,1,0,1645.813430068228,241.34801740865518,56.87146897535226,49,30,0,1,0,1,0,1589.0317112317948,235.47289599909325,67.16627596733952,1656.065734796547,271.2254012947335,108.16424700073975,,49,0
96035,10,30,157.36928559532328,210.24642908312478,203.76215779514604,,1,0,1363.0059036700443,205.97991556101428,30.368737659741896,42,30,0,1,0,1,0,1359.697278102942,213.04111818945282,104.15858194707336,1338.3029038735021,213.04111818945282,96.80545969357237,,42,0
96036,10,30,121.35742145970366,139.19288558602824,139.323970054918,,1,0,1019.7117155056028,172.74961220056485,21.502409441925778,35,30,0,1,0,1,0,953.484534402567,163.67716131966898,56.29021889465625,955.5423753584502,163.67716131966898,56.29021889465625,,35,0
96037,10,30,138.95933281932795,195.7218469720068,195.75453183546267,,1,0,1222.6965675954943,185.96969132520573,23.658333788529248,38,30,0,1,0,1,0,1346.365830924653,219.95011704882307,82.14544935218753,1346.878937101354,219.95011704882307,82.14544935218753,,38,0
96038,10,30,156.22584801654054,230.43941905022285,230.4373455657563,,1,0,1387.3107282655267,213.5224434597469,23.907354895016766,43,30,0,1,0,1,0,1389.3510770463802,248.1426084421317,118.35342130358254,1389.318526269825,248.1426084421317,118.35342130358254,,43,0
